qid,question,answer,gold,token_f1,pid,grade,subject,chapter,char_start,char_end,confidence,supported,veto_reason,evidence_verbatim,config_hash,seed
bn_wiki_2848_02,1970 খ্রিষ্টাব্দের ঘূর্ণিঝড়ে সরকারের ধীরগতির প্রতিক্রিয়ায় কবে মিছিল হয়?,(অস্বীকার / abstained),19শে নভেম্বর | 19শে নভেম্বর,0.0,bn_wiki_2848,,,,926,928,0.2879,False,,সরকারের ধীরগতির প্রতিক্রিয়ায় ক্ষুব্ধ ছাত্ররা 19শে নভেম্বর ঢাকায় মিছিল করেন।,773e1b820203,1337
bn_wiki_2885_05,বাংলাদেশের আইনসভা কয় কক্ষবিশিষ্ট?,(অস্বীকার / abstained),,0.0,wiki_3633_0,,,,24,35,0.1411,False,,কয়রা উপজেলা বাংলাদেশের খুলনা জেলার একটি প্রশাসনিক এলাকা।,773e1b820203,1337
bn_wiki_1775_02,হ্যারি পটার সিরিজ কে রচনা করেন?,(অস্বীকার / abstained),জে. কে. রাউলিং | জে. কে. রাউলিং,0.0,wiki_59465_0,,,,44,56,0.1799,False,,"হ্যারি পটার দিয়ে বোঝাতে পারে: হ্যারি পটার, কল্প-কাহিনীর সিরিজ হ্যারি পটার অ্যান্ড দ্য ফিলোসফার্স স্টোন হ্যারি পটার অ্যান্ড দ্য চেম্বার অফ সিক্রেটস হ্যারি পটার অ্যান্ড দ্য প্রিজনার অফ আজকাবান হ্যারি পটার অ্যান্ড দ্য গবলেট অফ ফায়ার হ্যারি পটার অ্যান্ড দ্য অর্ডার অফ দ্য ফিনিক্স হ্যারি পটার অ্যান্ড দ্য হাফ-ব্লাড প্রিন্স হ্যারি পটার অ্যান্ড দ্য ডেথলি হ্যালোস হ্যারি পটার (চলচ্চিত্র ধারাবাহিক), হ্যারি পটার সিরিজের ওপর চলচ্চিত্র সিরিজ হ্যারি পটার অ্যান্ড দ্য ফিলোসফার্স স্টোন (চলচ্চিত্র) হ্যারি পটার অ্যান্ড দ্য চেম্বার অফ সিক্রেটস (চলচ্চিত্র) হ্যারি পটার অ্যান্ড দ্য প্রিজনার অফ আজকাবান (চলচ্চিত্র) হ্যারি পটার অ্যান্ড দ্য গবলেট অফ ফায়ার (চলচ্চিত্র) হ্যারি পটার অ্যান্ড দ্য অর্ডার অফ দ্য ফিনিক্স (চলচ্চিত্র) হ্যারি পটার অ্যান্ড দ্য হাফ-ব্লাড প্রিন্স (চলচ্চিত্র) হ্যারি পটার অ্যান্ড দ্য ডেথলি হ্যালোস (চলচ্চিত্র)",773e1b820203,1337
bn_wiki_0873_05,19 শতাব্দীর নিয়ন্ত্রণ তত্ত্বগুলি প্রথমত কে করেছিলেন?,(অস্বীকার / abstained),,0.0,bn_wiki_0872,,,,1507,1526,0.2247,False,,"19 শতাব্দীর নিয়ন্ত্রণ তত্ত্বগুলি, যখন গভর্নরদের অপারেশনের জন্য তাত্ত্বিক ভিত্তি প্রথমত জেমস ক্লার্ক ম্যাক্সওয়েল করেছিলেন।",773e1b820203,1337
bn_wiki_0032_01,পরমাণুকেন্দ্রীয় (নিউক্লীয়) পদার্থবিজ্ঞান ও কণা পদার্থবিজ্ঞানে উচ্চ-শক্তিবিশিষ্ট কণাসমূহের মধ্যে বলপূর্বক সংঘর্ষ সৃষ্টি করার উদ্দেশ্যে কি ব্যবহার করা হয়?,(অস্বীকার / abstained),কণা ত্বরকগুলিকে | কণা ত্বরক,0.0,bn_wiki_0032,,,,219,230,0.1489,False,,কণা ত্বরকগুলিকে পরমাণুকেন্দ্রীয় (নিউক্লীয়) পদার্থবিজ্ঞান ও কণা পদার্থবিজ্ঞানে উচ্চ-শক্তিবিশিষ্ট কণাসমূহের মধ্যে বলপূর্বক সংঘর্ষ সৃষ্টি করার উদ্দেশ্যে ব্যবহার করা হয়।,773e1b820203,1337
bn_wiki_0834_02,ইউজনেট কত সালে প্রতিষ্ঠিত হয়েছিলো?,1979,1980 | 1980,0.0,bn_wiki_0834,,,,222,226,0.548,True,,টম ট্রস্কট এবং জিম এলিস 1979 সালে এই ধারণাটি ধারণ করেছিলেন এবং এটি 1980 সালে প্রতিষ্ঠিত হয়েছিল।,773e1b820203,1337
bn_wiki_1417_03,পরিবারের ইতিহাস পরিবারের গঠন এবং কার্যকারিতা বোঝার লক্ষ্যে গবেষণা হয় কি?,(অস্বীকার / abstained),হ্যাঁ | হ্যাঁ,0.0,bn_wiki_1417,,,,214,221,0.2021,False,,পরিবারের ইতিহাস শৃঙ্খলা এবং সংস্কৃতি অতিক্রম করে অনেক দৃষ্টিভঙ্গি থেকে পরিবারের গঠন এবং কার্যকারিতা বোঝার লক্ষ্যে গবেষণা হয়।,773e1b820203,1337
bn_wiki_1760_04,এডমন্ড ইভান্স এর পেশা কী ছিল?,(অস্বীকার / abstained),,0.0,bn_wiki_1760,,,,527,540,0.0737,False,,"এডমন্ড ইভান্স এই রঙিন ছবিগুলোর ছাপানোর জন্য ক্রোমোজাইলোগ্রাফির সাহায্য নেন, যেখানে কাঠের ব্লকের মাধ্যমে রঙিন ছবি তৈরি করা হয়।",773e1b820203,1337
bn_wiki_0059_02#2,শাহ আমানত সেতুর মোট পিলার সংখ্যা কতটি?,(অস্বীকার / abstained),10টি | 10টি,0.0,bn_wiki_0309,,,,819,821,0.2053,False,,সেতুর মোট পিলার সংখ্যা 10টি।,773e1b820203,1337
bn_wiki_0372_02,জাফলং কীসের জন্য বিখ্যাত?,(অস্বীকার / abstained),পর্যটন; পাথর | পর্যটন; পাথর,0.0,bn_wiki_0372,,,,297,305,0.1861,False,,পর্যটনের সাথে জাফলং পাথরের জন্যও বিখ্যাত।,773e1b820203,1337
bn_wiki_0588_04,উন্নত দেশগুলিতে যত্রতত্র যখন তখন ভেঁপু (হর্ন) বাজানো নিষেধ কেন?,(অস্বীকার / abstained),,0.0,bn_wiki_0588,,,,1196,1224,0.366,False,,"উন্নত দেশগুলিতে যত্রতত্র যখন তখন ভেঁপু (হর্ন) বাজানো নিষেধ ও সাধারণত কাজটিকে প্রবলভাবে নিরুৎসাহিত করা হয়, এবং এর পরিবর্তে পার্শ্বদর্শী দর্পণ বা পশ্চাতদর্শী দর্পণ ব্যবহার করার ব্যাপারে জোর দেওয়া হয়।",773e1b820203,1337
bn_wiki_1892_03,ইউরোপের অন্যতম পুরোনো উদ্যান কোনটি?,(অস্বীকার / abstained),সুইস জাতীয় উদ্যান | সুইস জাতীয় উদ্যান,0.0,bn_wiki_1892,,,,494,498,0.1786,False,,এটি 1914 সালে প্রতিষ্ঠিত হয়েছিলো এবং এটি ইউরোপের অন্যতম পুরোনো উদ্যান।,773e1b820203,1337
bn_wiki_0523_04,গণনা জন্ত্রের বাইরের আবরণ নকশা করেন কে?,(অস্বীকার / abstained),রিচার্ড টরেন্স | রিচার্ড টরেন্স,0.0,wiki_88960_4,,,,1035,1054,0.1538,False,,বাইটেমিক ডিম্বাণুতে (যেমন গসিপিয়াম এখানে বর্ণিত) ভিতরের এবং বাইরের উভয় অংশই বীজের আবরণ গঠনে অবদান রাখে।,773e1b820203,1337
bn_wiki_0504_01,পলাশীর যুদ্ধ কত সালে সংগঠিত হয়?,(অস্বীকার / abstained),1757 | 1757,0.0,wiki_8917_2,,,,335,337,0.0003,False,"সংখ্যা ভুল — বইয়ে ৮, উত্তরে ২৩",23 জুন সকাল 8টার দিকে যুদ্ধ শুরু হয়।,773e1b820203,1337
bn_wiki_0158_03,কেন বর্তমানে কেপলার অনুমিতিকে 99% সঠিক বলা যায়?,(অস্বীকার / abstained),টমাস ক্যালিস্টার হেইলস ফেজেস টথ কর্তৃক 1953 সালে প্রস্তাবিত একটি পদ্ধতি অনুসরণ করে কম্পিউটার সিম্যুলেশনের মাধ্যমে অনেক ধরনের বিন্যাস নিয়ে পরীক্ষা চালিয়ে দেখার চেষ্টা করেন সকল ক্ষেত্রে অনুমিতিটি সঠিক কিনা | টমাস ক্যালিস্টার হেইলস ফেজেস টথ কর্তৃক 1953 সালে প্রস্তাবিত একটি পদ্ধতি অনুসরণ করে কম্পিউটার সিম্যুলেশনের মাধ্যমে অনেক ধরনের বিন্যাস নিয়ে পরীক্ষা চালিয়ে দেখার চেষ্টা করেন সকল ক্ষেত্রে অনুমিতিটি সঠিক কিনা,0.0,bn_wiki_0158,,,,693,712,0.3588,False,,তার সিম্যুলেশনের কারণে বর্তমানে কেপলার অনুমিতিকে 99% সঠিক বলা যায় এবং এটিকে একটি তত্ত্ব হিসেবে প্রহণ করার সময় প্রায় এসে গেছে।,773e1b820203,1337
bn_wiki_2094_02,দ্য সুপার লীগ কি একটি পরিকল্পিত দ্বিবার্ষিক ক্লাব ফুটবল প্রতিযোগিতা?,(অস্বীকার / abstained),না | না,0.0,bn_wiki_2094,,,,134,156,0.1767,False,,"দ্য সুপার লীগ (এছাড়াও ইউরোপীয় সুপার লীগ কোম্পানি এবং এসএল নামে পরিচিত) হচ্ছে একটি পরিকল্পিত বার্ষিক ক্লাব ফুটবল প্রতিযোগিতা, যেখানে ইউরোপীয় শীর্ষস্থানীয় ক্লাবগুলো একে অপর বিরুদ্ধে প্রতিদ্বন্দ্বিতা করবে।",773e1b820203,1337
bn_wiki_2162_01,চিড়িয়াখানা কাকে বলে?,(অস্বীকার / abstained),যেখানে বন্য প্রাণী বন্দী অবস্থায় সংরক্ষণ ও গবেষণার জন্য রাখা হয় | যেখানে বন্য প্রাণী বন্দী অবস্থায় সংরক্ষণ ও গবেষণার জন্য রাখা হয়,0.0,bn_wiki_2162,,,,7,18,0.2141,False,,যেখানে বন্য প্রাণী বন্দী অবস্থায় সংরক্ষণ ও গবেষণার জন্য রাখা হয় তাকে চিড়িয়াখানা বলে।,773e1b820203,1337
bn_wiki_1466_02,গালফ নামে পরিচিত কয়েকটি মাঝারি আকারের উপসাগর কি কি?,(অস্বীকার / abstained),বিস্কে উপসাগর; পারস্য উপসাগর; গালফ অফ টনকিন; গালফ অফ কারপেন্টারিয়া | বিস্কে উপসাগর; পারস্য উপসাগর; গালফ অফ টনকিন; গালফ অফ কারপেন্টারিয়া,0.0,bn_wiki_1466,,,,140,146,0.2117,False,,"গালফ নামে পরিচিত কয়েকটি মাঝারি আকারের উপসাগর: বিস্কে উপসাগর, পারস্য উপসাগর, গালফ অফ টনকিন, গালফ অফ কারপেন্টারিয়া।",773e1b820203,1337
bn_wiki_0727_02,চিন ও উত্তর আমেরিকার অধিবাসীরা কিভাবে দূরে খবর পাঠাত?,(অস্বীকার / abstained),ধোঁয়ার সংকেত দিয়ে | ধোঁয়ার সংকেত দিয়ে,0.0,bn_wiki_0727,,,,218,241,0.2796,False,,চিন ও উত্তর আমেরিকার অধিবাসীরা ধোঁয়ার সংকেত দিয়ে দূরে খবর পাঠাত।,773e1b820203,1337
bn_wiki_2499_04,যেসব বিষয়ের ক্ষেত্রে নারী অধিকার প্রযোজ্য হয় তার উদাহারণ দাও?,(অস্বীকার / abstained),"ভোটদানের অধিকার;অফিস-আদালতে একসাথে কাজ করার অধিকার;কাজের বিনিময়ে ন্যায্য ও সমান প্রতিদান (বেতন ও অন্যান্য সুবিধাদি) পাবার অধিকার;সম্পত্তি লাভের অধিকার;শিক্ষার্জনের অধিকার;সামরিক বাহিনীতে কাজ করার অধিকার;আইনগত চুক্তিতে অংশগ্রহণের অধিকার;বিবাহ, অভিভাবক ও ধর্মীয় অধিকার | ভোটদানের অধিকার;অফিস-আদালতে একসাথে কাজ করার অধিকার;কাজের বিনিময়ে ন্যায্য ও সমান প্রতিদান (বেতন ও অন্যান্য সুবিধাদি) পাবার অধিকার;সম্পত্তি লাভের অধিকার;শিক্ষার্জনের অধিকার;সামরিক বাহিনীতে কাজ করার অধিকার;আইনগত চুক্তিতে অংশগ্রহণের অধিকার;বিবাহ, অভিভাবক ও ধর্মীয় অধিকার",0.0,bn_wiki_2499,,,,1124,1135,0.296,False,,"যেসব বিষয়ের ক্ষেত্রে নারী অধিকার প্রযোজ্য হয়, তা সুনির্দিষ্ট না হলেও এগুলো মূলত সমতা ও স্বয়ংসম্পূর্ণতা কেন্দ্রিক।",773e1b820203,1337
bn_wiki_1927_02,ধীরে কিন্তু নিয়মিতভাবে বায়ুমণ্ডল মহাকাশে হারিয়ে যায় কেন?,(অস্বীকার / abstained),তাপশক্তির কারণে বায়ুমণ্ডলের বাইরের প্রান্তে থাকা কিছু অনুর ভেতর গতিশক্তি বৃদ্ধি পায়; এক পর্যায়ে এগুলো পৃথিবীর অভিকর্ষ শক্তিকে ছিন্ন করে মহাকাশে বেড়িয়ে যেতে সক্ষম হয় | তাপশক্তির কারণে বায়ুমণ্ডলের বাইরের প্রান্তে থাকা কিছু অনুর ভেতর গতিশক্তি বৃদ্ধি পায়; এক পর্যায়ে এগুলো পৃথিবীর অভিকর্ষ শক্তিকে ছিন্ন করে মহাকাশে বেড়িয়ে যেতে সক্ষম হয়,0.0,bn_wiki_1927,,,,178,192,0.3384,False,,এই ঘটনার ফলে ধীরে কিন্তু নিয়মিতভাবে বায়ুমণ্ডল মহাকাশে হারিয়ে যায়।,773e1b820203,1337
bn_wiki_1878_04,কোন অ্যাসিড থাকার কারণে ব্ল্যাকবেরি বেশ গুরুত্বপূর্ণ?,(অস্বীকার / abstained),ফলিক অ্যাসিড | ফলিক,0.0,bn_wiki_1878,,,,436,455,0.2283,False,,এছাড়াও ম্যাঙ্গানিজ এবং ফলিক অ্যাসিড থাকার কারণে ব্ল্যাকবেরি বেশ গুরুত্বপূর্ণ।,773e1b820203,1337
bn_wiki_2677_04,গুগল হোমির কততম জন্মদিনে ডুডল প্রকাশ করে?,(অস্বীকার / abstained),,0.0,wiki_2139_11,,,,486,490,0.2388,False,,2017 সালে তার জন্মদিনে গুগল তাদের হোমপেজে হুমায়ূন আহমেদের গুগল ডুডল প্রদর্শন করে উদ্যাপন করে।,773e1b820203,1337
bn_wiki_1314_01,চাট কি একটি সুস্বাদু হালকা ক্ষুধাবর্ধক খাবার?,(অস্বীকার / abstained),হ্যাঁ | হ্যাঁ,0.0,bn_wiki_1314,,,,54,66,0.2416,False,,"চাট হল একটি সুস্বাদু হালকা খাবার যা দক্ষিণ এশিয়া তথা ভারতে উদ্ভূত এবং বাংলাদেশ, ভারত, নেপাল ও পাকিস্তান জুড়ে যা সাধারণত ক্ষুধাবর্ধক খাবার হিসাবে রাস্তার পাশে বা ফুতপাতে খাবার ট্রলি বা ছোট্ট দোকান পরিবেশিত হয়।",773e1b820203,1337
bn_wiki_0870_02,ব্যয় ও সম্পদের উপর নির্ভর করে কোনো ব্যবসায়িক প্রতিষ্ঠান কিভাবে পণ্য উৎপাদন এর সিদ্ধান্ত নিতে পারে?,(অস্বীকার / abstained),ব্যয় ও সম্পদের উপর নির্ভর করে ব্যবসায়িক প্রতিষ্ঠানটি নিজেই নিজস্ব কারখানায় পণ্যটি উৎপাদন করার সিদ্ধান্ত নিতে পারে; কিংবা অন্য একটি পথে যেতে পারে; যেমন অন্য কোনও ব্যবসা প্রতিষ্ঠানের সাথে চুক্তি করে সম্মানী বা অর্থ পরিশোধের বিনিময়ে পণ্যটি নির্মাণ; ব্যবহার ও বিক্রয়ের অধিকার প্রদান করতে পারে | ব্যয় ও সম্পদের উপর নির্ভর করে ব্যবসায়িক প্রতিষ্ঠানটি নিজেই নিজস্ব কারখানায় পণ্যটি উৎপাদন করার সিদ্ধান্ত নিতে পারে; কিংবা অন্য একটি পথে যেতে পারে; যেমন অন্য কোনও ব্যবসা প্রতিষ্ঠানের সাথে চুক্তি করে সম্মানী বা অর্থ পরিশোধের বিনিময়ে পণ্যটি নির্মাণ; ব্যবহার ও বিক্রয়ের অধিকার প্রদান করতে পারে,0.0,bn_wiki_0870,,,,372,394,0.2651,False,,"ব্যয় ও সম্পদের উপর নির্ভর করে ব্যবসায়িক প্রতিষ্ঠানটি নিজেই নিজস্ব কারখানায় পণ্যটি উৎপাদন করার সিদ্ধান্ত নিতে পারে, কিংবা অন্য একটি পথে যেতে পারে, যেমন অন্য কোনও ব্যবসা প্রতিষ্ঠানের সাথে চুক্তি করে সম্মানী বা অর্থ পরিশোধের বিনিময়ে পণ্যটি নির্মাণ, ব্যবহার ও বিক্রয়ের অধিকার প্রদান করতে পারে।",773e1b820203,1337
bn_wiki_0453_02,পোল্যান্ডে কত সালে হিচহাইকিং বৈধ করা হয়?,524,1955 | 1955,0.0,bn_wiki_0453,,,,2336,2339,0.5125,True,,"উদাহরণস্বরূপ, ওয়াইমিং হাইওয়ে প্যাট্রোল 2010 সালে 524 জন হিচহাইকারের সাথে যোগাযোগ করেছিল, কিন্তু তাদের মধ্যে মাত্র আটজনকে উদ্ধৃত করা হয়েছিল (পরবর্তীতে 2013 সালে ওয়াইমিং-এ হিচহাইকিংকে বৈধ করা হয়েছিল)।",773e1b820203,1337
bn_wiki_0475_04,রেলপথ কেন মানুষের নিকট ব্যাপক জনপ্রিয়তা লাভ করে?,(অস্বীকার / abstained),রেলপথে ঝুঁকি কম থাকায় | রেলপথে ঝুঁকি কম থাকায়,0.0,bn_wiki_0475,,,,1971,1986,0.1322,False,,রেলপথে ঝুঁকি কম থাকায় এটি মানুষের নিকট ব্যাপক জনপ্রিয়টা লাভ করে।,773e1b820203,1337
bn_wiki_2809_02,সুলেইমান ইবনে কুতালমিশ রুম সালতানাত কত সাল থেকে কত সাল পর্যন্ত শাসন করেন?,(অস্বীকার / abstained),1077 থেকে আমৃত্যু 1086 সাল পর্যন্ত | 1077 থেকে আমৃত্যু 1086 সাল পর্যন্ত,0.0,bn_wiki_2809,,,,106,110,0.4912,False,,সুলেইমান ইবনে কুতালমিশ আনাতোলিয়ায় স্বাধীন সেলযুক তুর্কি রাষ্ট্রের প্রতিষ্ঠাতা যা রুম সালতানাত নামে তিনি 1077 থেকে আমৃত্যু 1086 সাল পর্যন্ত শাসন করেন।,773e1b820203,1337
bn_wiki_2824_05,বাংলাদেশের আইনসভা কোনটি?,(অস্বীকার / abstained),,0.0,nctb_9_10_Civics_4_84,9-10,Civics,রাষ্ট্র ও সরকার ব্যবস্থা,110,111,0.0404,False,,5 ৷ সংসদীয় সরকারে আইনসভা সার্বভৌম ক্ষমতার অধিকারী হয় কেন?,773e1b820203,1337
bn_wiki_0455_02,"যুক্তরাষ্ট্র কত সালের দিকে বৈমানিকদের সঠিক গতিপথে বিমান অবতরনের জন্য ""যথাযথ পথ নির্দেশক"" তৈরি করে?",1930,1930 | 1920,1.0,bn_wiki_0455,,,,1413,1417,0.6007,True,,"যুক্তরাষ্ট্র 1930 সালের দিকে বৈমানিকদের সঠিক গতিপথে বিমান অবতরনের জন্য ""যথাযথ পথ নির্দেশক"" তৈরি করে।",773e1b820203,1337
bn_wiki_2824_02,আয়তনে বিশ্বে কততম বৃহত্তম দেশ বাংলাদেশ?,(অস্বীকার / abstained),94 তম | 94 তম,0.0,wiki_1295_2,,,,36,37,0.0772,False,,ভূগোল আয়তনের বিচারে কানাডা বিশ্বের 2য় বৃহত্তম রাষ্ট্র।,773e1b820203,1337
bn_wiki_1982_05,মুসলিম শিশুদের জন্য ক্ষমতায়নের চাবিকাঠি কী?,(অস্বীকার / abstained),,0.0,bn_wiki_1982,,,,1551,1567,0.2223,False,,মুসলিম নারীদের জন্য পরিবার পরিকল্পনা তাদের ক্ষমতায়নের চাবিকাঠি।,773e1b820203,1337
bn_wiki_1236_03,ক্লোজ-আপ ব্র্যান্ডটি বিশ্বজুড়ে কোন কোম্পানি বাজারজাত করে?,(অস্বীকার / abstained),ইউনিলিভার | ইউনিলিভার,0.0,bn_wiki_1236,,,,165,169,0.1194,False,,এই ব্র্যান্ডটি বিশ্বজুড়ে ইউনিলিভার কর্তৃক বাজারজাত করা হয় এবং 2003 থেকে উত্তর আমেরিকার বাজারের জন্য চার্চ অ্যান্ড ডুইটকে লাইসেন্স দেওয়া।,773e1b820203,1337
bn_wiki_2053_04,"রোমে অনুষ্ঠিত 1960 সালের অলিম্পিকে গাটম্যান এবং তার সমর্থকেরা প্রায় কত জন ক্রীড়াবিদকে একটি ""সমান্তরাল অলিম্পিকে"" অংশগ্রহণ করানোর জন্য নিয়ে আসেন?",(অস্বীকার / abstained),400 | 400,0.0,bn_wiki_2053,,,,485,488,0.3544,False,,"রোমে অনুষ্ঠিত 1960 সালের অলিম্পিকে গাটম্যান এবং তার সমর্থকেরা প্রায় 400 জন ক্রীড়াবিদকে একটি ""সমান্তরাল অলিম্পিকে"" অংশগ্রহণ করানোর জন্য নিয়ে আসেন।",773e1b820203,1337
bn_wiki_1625_03,ব্রুস এর জন্ম কোন শহরে হয়েছিল?,(অস্বীকার / abstained),সানফ্রান্সিস্কোতে | সানফ্রান্সিস্কোতে,0.0,bn_wiki_1625,,,,178,218,0.1638,False,,তার জন্ম মার্কিন যুক্তরাষ্ট্রের সানফ্রান্সিস্কোতে।,773e1b820203,1337
bn_wiki_0398_04,নিরাপত্তা বিশেষঞ্জরা সামরিক রাডারের তথ্য-উপাত্ত নিয়ে কী মনে করেন?,(অস্বীকার / abstained),অন্যদের সামরিক রাডারের তথ্যে প্রবেশ করতে দেওয়া নিরাপত্তার জন্য হুমকি হয়ে উঠতে পারে | সামরিক রাডারের তথ্যে প্রবেশ করতে দেওয়া নিরাপত্তার জন্য হুমকি হয়ে উঠতে পারে,0.0,bn_wiki_0398,,,,927,934,0.0892,False,,"নিরাপত্তা বিশেষঞ্জরা মনে করেন, অন্যদের সামরিক রাডারের তথ্যে প্রবেশ করতে দেওয়া নিরাপত্তার জন্য হুমকি হয়ে উঠতে পারে।",773e1b820203,1337
bn_wiki_1060_04,জীবন-নির্ভর চুক্তি কয়টি ধারায় বিভক্ত?,(অস্বীকার / abstained),দুটি | দুটি প্রধান ধারায় বিভক্ত,0.0,wiki_92956_0,,,,56,60,0.009,False,,1711 খ্রিস্টাব্দে এটি প্রকাশিত হয়ে রামেশ্বর ভট্টাচার্যের দ্বারা।(বেশি প্রচলিত ও বিখ্যাত) শিব ও দুর্গার দরিদ্র সংসার জীবন কল্পনা করে মঙ্গলকাব্যের আদলে এই কাব্যধারার উদ্ভব।,773e1b820203,1337
bn_wiki_2280_04,ডেজাই পরিষদের আপত্তির কারণ ছিল কী?,(অস্বীকার / abstained),বালকটি খুব বেশি ভয়ে আক্রান্ত এবং তার জেডাই প্রশিক্ষণ শুরুর বয়স পার হয়ে গেছে | বালকটি খুব বেশি ভয়ে আক্রান্ত এবং তার জেডাই প্রশিক্ষণ শুরুর বয়স পার হয়ে গেছে,0.0,bn_wiki_2280,,,,676,689,0.2097,False,,"ডেজাই পরিষদের আপত্তির কারণ ছিল, বালকটি খুব বেশি ভয়ে আক্রান্ত এবং তার জেডাই প্রশিক্ষণ শুরুর বয়স পার হয়ে গেছে।",773e1b820203,1337
