feature,weight,abs_weight,rank,model,config_hash,seed
starts_with_stopword,0.0,0.0,31,reader-logreg,325b04a5ded2,1337
sent_idf_overlap,,,1,reader-gbdt,325b04a5ded2,1337
sent_overlap_frac,,,2,reader-gbdt,325b04a5ded2,1337
q_content_matched_frac,,,3,reader-gbdt,325b04a5ded2,1337
min_dist_to_match,,,4,reader-gbdt,325b04a5ded2,1337
span_tokens,,,5,reader-gbdt,325b04a5ded2,1337
span_chars,,,6,reader-gbdt,325b04a5ded2,1337
span_idf_mean,,,7,reader-gbdt,325b04a5ded2,1337
span_idf_max,,,8,reader-gbdt,325b04a5ded2,1337
is_numeral,,,9,reader-gbdt,325b04a5ded2,1337
is_year,,,10,reader-gbdt,325b04a5ded2,1337
has_latin,,,11,reader-gbdt,325b04a5ded2,1337
has_digit,,,12,reader-gbdt,325b04a5ded2,1337
in_parentheses,,,13,reader-gbdt,325b04a5ded2,1337
is_unit_bearing,,,14,reader-gbdt,325b04a5ded2,1337
class_match,,,15,reader-gbdt,325b04a5ded2,1337
class_is_time,,,16,reader-gbdt,325b04a5ded2,1337
class_is_number,,,17,reader-gbdt,325b04a5ded2,1337
class_is_person,,,18,reader-gbdt,325b04a5ded2,1337
class_is_place,,,19,reader-gbdt,325b04a5ded2,1337
class_is_clause,,,20,reader-gbdt,325b04a5ded2,1337
type_prior_len,,,21,reader-gbdt,325b04a5ded2,1337
cos_q_span,,,22,reader-gbdt,325b04a5ded2,1337
cos_q_sentence,,,23,reader-gbdt,325b04a5ded2,1337
passage_rank_inv,,,24,reader-gbdt,325b04a5ded2,1337
passage_score,,,25,reader-gbdt,325b04a5ded2,1337
sentence_rank_inv,,,26,reader-gbdt,325b04a5ded2,1337
span_pos_frac,,,27,reader-gbdt,325b04a5ded2,1337
relation_order_flag,,,28,reader-gbdt,325b04a5ded2,1337
span_in_question,,,29,reader-gbdt,325b04a5ded2,1337
stopword_frac,,,30,reader-gbdt,325b04a5ded2,1337
starts_with_stopword,,,31,reader-gbdt,325b04a5ded2,1337
cos_q_sentence,0.019367283950617337,0.019367283950617337,1,reader-gbdt(permutation),325b04a5ded2,1337
type_prior_len,0.00787037037037038,0.00787037037037038,2,reader-gbdt(permutation),325b04a5ded2,1337
cos_q_span,0.006327160493827237,0.006327160493827237,3,reader-gbdt(permutation),325b04a5ded2,1337
q_content_matched_frac,0.005187559354226064,0.005187559354226064,4,reader-gbdt(permutation),325b04a5ded2,1337
min_dist_to_match,0.0030033238366572825,0.0030033238366572825,5,reader-gbdt(permutation),325b04a5ded2,1337
passage_score,0.0027184235517569246,0.0027184235517569246,6,reader-gbdt(permutation),325b04a5ded2,1337
span_pos_frac,0.0009852801519468397,0.0009852801519468397,7,reader-gbdt(permutation),325b04a5ded2,1337
span_idf_mean,0.0007122507122507468,0.0007122507122507468,8,reader-gbdt(permutation),325b04a5ded2,1337
span_chars,0.0006054131054131403,0.0006054131054131403,9,reader-gbdt(permutation),325b04a5ded2,1337
span_tokens,0.00039173789173792734,0.00039173789173792734,10,reader-gbdt(permutation),325b04a5ded2,1337
sent_idf_overlap,0.0003679962013296197,0.0003679962013296197,11,reader-gbdt(permutation),325b04a5ded2,1337
stopword_frac,3.56125356126095e-05,3.56125356126095e-05,12,reader-gbdt(permutation),325b04a5ded2,1337
sent_overlap_frac,-2.3741690408307647e-05,2.3741690408307647e-05,13,reader-gbdt(permutation),325b04a5ded2,1337
passage_rank_inv,-1.187084520419083e-05,1.187084520419083e-05,14,reader-gbdt(permutation),325b04a5ded2,1337
span_idf_max,0.0,0.0,15,reader-gbdt(permutation),325b04a5ded2,1337
is_numeral,0.0,0.0,16,reader-gbdt(permutation),325b04a5ded2,1337
is_year,0.0,0.0,17,reader-gbdt(permutation),325b04a5ded2,1337
has_latin,0.0,0.0,18,reader-gbdt(permutation),325b04a5ded2,1337
has_digit,0.0,0.0,19,reader-gbdt(permutation),325b04a5ded2,1337
in_parentheses,0.0,0.0,20,reader-gbdt(permutation),325b04a5ded2,1337
is_unit_bearing,0.0,0.0,21,reader-gbdt(permutation),325b04a5ded2,1337
class_match,0.0,0.0,22,reader-gbdt(permutation),325b04a5ded2,1337
class_is_time,0.0,0.0,23,reader-gbdt(permutation),325b04a5ded2,1337
class_is_number,0.0,0.0,24,reader-gbdt(permutation),325b04a5ded2,1337
class_is_person,0.0,0.0,25,reader-gbdt(permutation),325b04a5ded2,1337
class_is_place,0.0,0.0,26,reader-gbdt(permutation),325b04a5ded2,1337
class_is_clause,0.0,0.0,27,reader-gbdt(permutation),325b04a5ded2,1337
sentence_rank_inv,0.0,0.0,28,reader-gbdt(permutation),325b04a5ded2,1337
relation_order_flag,0.0,0.0,29,reader-gbdt(permutation),325b04a5ded2,1337
span_in_question,0.0,0.0,30,reader-gbdt(permutation),325b04a5ded2,1337
starts_with_stopword,0.0,0.0,31,reader-gbdt(permutation),325b04a5ded2,1337
